RCOI,Definition,Count
f4f5e8f5f4,Google Orion Devices,10405
5a03ba0000,OpenRoaming Unsettled (All),6688
4096,OpenRoaming Unsettled Legacy / Samsung OneUI (All),6632
cae505,Unknown,3944
313100,ATT Offload ?,3839
310410,ATT Offload ?,3839
310280,ATT Offload ?,3817
2233445566,Unknown,1294
21122,Unknown,1153
3af521,SingleDigits Testing RCOI,962
1bc50460,Eduroam Legacy,614
6a1f6c,Unknown,520
5a03ba,Unknown,451
baa2d00000,Unknown,277
1834af,Unknown,241
aa146b0000,IronWiFi Devices,161
baa2d0,Unknown,97
500f,OpenRoaming Settled Legacy (All paid members),97
506f9a,Unknown,48
1bc504bd,Unknown,48
3213445172,Unknown,44
baa2d00100,OpenRoaming Settled (SP paid Bronze QoS),37
1bc5046f,Unknown,28
5a03ba1000,OpenRoaming Unsettled (All with real ID),28
aa146b,Unknown,27
c,Unknown,25
1122330000,Unknown,16
500b,OpenRoaming Unsettled Legacy (All with real ID),13
3af050201,Unknown,11
24e4ce,Unknown,7
5a03ba0800,OpenRoaming Unsettled (Education or Research ID free),6
5a03ba0100,OpenRoaming Unsettled (SP free Bronze QoS),4
40202,Unknown,2
5a03ba0600,OpenRoaming Unsettled (Loyalty Hospitality),2
baa2d06000,Unknown,2
840112,Unknown,1
da9d490000,Unknown,1
f4f5e8f5d4,Alternative Orion Offload?,1
f4f5e8f5e4,Alternative Orion Offload?,1
a43,Unknown,1
da9d490005,Unknown,1
112233,Unknown,1
445566,Unknown,1
